Player,Age,Ast,xAG,xG,Gls,MP,Min,Nation,PK,Pos,CrdR,Starts,Team,CrdY
David Raya,30-118,0,0.1,0,0,21,1890,es ESP,0,GK,0,21,Arsenal,1
Martín Zubimendi,26-343,1,1.1,1.9,3,21,1769,es ESP,0,MF,0,20,Arsenal,4
Declan Rice,26-362,3,3.5,2.5,4,20,1696,eng ENG,0,MF,0,19,Arsenal,1
Jurriën Timber,24-208,3,1.1,4,2,20,1641,nl NED,0,DF,0,18,Arsenal,2
Bukayo Saka,24-128,3,4.9,5.3,4,19,1422,eng ENG,1,FW,0,16,Arsenal,1
William Saliba,24-293,0,0.2,0.3,0,17,1354,fr FRA,0,DF,0,16,Arsenal,0
Viktor Gyökeres,27-221,0,1.2,6.4,5,19,1290,se SWE,2,FW,0,16,Arsenal,3
Riccardo Calafiori,23-237,2,0.5,2.5,1,16,1255,it ITA,0,DF,0,16,Arsenal,5
Gabriel Magalhães,28-023,2,1.4,1.6,3,15,1266,br BRA,0,DF,0,14,Arsenal,1
Leandro Trossard,31-038,4,2.2,4,5,17,1131,be BEL,0,FW,0,12,Arsenal,1
Eberechi Eze,27-196,2,1.2,2.3,4,15,923,eng ENG,0,"MF,FW",0,11,Arsenal,0
Martin Ødegaard,27-025,3,2.4,0.9,1,15,874,no NOR,0,MF,0,11,Arsenal,0
Mikel Merino,29-203,3,1.4,2.1,3,19,940,es ESP,0,"MF,FW",0,10,Arsenal,1
Piero Hincapié,24-002,0,0.7,0,0,12,891,ec ECU,0,DF,0,10,Arsenal,2
Noni Madueke,23-307,0,1.4,0.5,0,12,510,eng ENG,0,FW,0,6,Arsenal,0
Gabriel Martinelli,24-207,0,0.3,2.1,1,16,510,br BRA,0,FW,0,6,Arsenal,2
Cristhian Mosquera,21-198,0,0.1,0,0,10,433,es ESP,0,DF,0,4,Arsenal,1
Ben White,28-095,1,0.8,0.4,0,5,288,eng ENG,0,DF,0,4,Arsenal,0
Myles Lewis-Skelly,19-107,0,0.1,0.1,0,14,321,eng ENG,0,DF,0,1,Arsenal,3
Ethan Nwaneri,18-296,0,0,0.2,0,6,171,eng ENG,0,MF,0,0,Arsenal,0
Gabriel Jesus,28-283,0,0,0.5,1,6,122,br BRA,0,FW,0,0,Arsenal,1
Christian Nørgaard,31-307,0,0,0.1,0,3,33,dk DEN,0,MF,0,0,Arsenal,0
Kai Havertz,26-214,0,0,0,0,1,31,de GER,0,FW,0,0,Arsenal,0
Max Dowman,16-011,0,0,0.1,0,2,29,eng ENG,0,FW,0,0,Arsenal,0
Andre Annous,18-015,,,,,0,,eng ENG,,FW,,0,Arsenal,
Kepa Arrizabalaga,31-100,,,,,0,,es ESP,,GK,,0,Arsenal,
Jakub Kiwior,25-330,,,,,0,,pl POL,,"DF,MF",,0,Arsenal,
Marli Salmon,16-135,,,,,0,,eng ENG,,DF,,0,Arsenal,
Morgan Rogers,23-169,4,3.2,3.4,7,21,1867,eng ENG,0,"FW,MF",0,21,Aston-Villa,4
Ezri Konsa,28-080,0,0.4,0.4,0,20,1775,eng ENG,0,DF,1,20,Aston-Villa,0
Matty Cash,28-157,2,1.8,0.7,3,20,1770,pl POL,0,DF,0,20,Aston-Villa,5
John McGinn,31-085,2,2.1,2.6,3,21,1574,sct SCO,0,"FW,MF",0,20,Aston-Villa,3
